,school_name,school_slug,season,ranker,team_game_num_season,date,game_location,opp_name_abbr,game_type,team_game_result,team_game_score,opp_team_game_score,overtimes,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
102,AlabamaNCAA,alabama,2023,8,8,2022-12-03,,South Dakota State,REG (Non-Conf),W,78,65,,27,68,0.397,13,40,0.325,14,28,0.5,0.493,11,15,0.733,14,29,43,20,5,5,10,14,26,61,0.426,6,20,0.3,20,41,0.488,0.475,7,11,0.636,5,28,33,9,6,3,11,16
103,AlabamaNCAA,alabama,2023,9,9,2022-12-10,@,Houston,REG (Non-Conf),W,71,65,,22,54,0.407,7,23,0.304,15,31,0.484,0.472,20,32,0.625,10,30,40,9,6,3,15,20,25,64,0.391,3,13,0.231,22,51,0.431,0.414,12,22,0.545,12,25,37,7,7,8,10,24
104,AlabamaNCAA,alabama,2023,10,10,2022-12-13,,Memphis,REG (Non-Conf),W,91,88,,26,54,0.481,10,27,0.37,16,27,0.593,0.574,29,40,0.725,10,29,39,17,4,7,19,19,34,79,0.43,1,12,0.083,33,67,0.493,0.437,19,25,0.76,13,21,34,10,13,2,10,28
105,AlabamaNCAA,alabama,2023,11,11,2022-12-17,N,Gonzaga,REG (Non-Conf),L,90,100,,31,60,0.517,8,25,0.32,23,35,0.657,0.583,20,24,0.833,8,27,35,11,3,3,21,19,40,70,0.571,7,17,0.412,33,53,0.623,0.621,13,19,0.684,4,22,26,16,12,1,9,24
106,AlabamaNCAA,alabama,2023,12,12,2022-12-20,,Jackson State,REG (Non-Conf),W,84,64,,30,63,0.476,7,27,0.259,23,36,0.639,0.532,17,26,0.654,13,32,45,20,11,6,17,12,23,66,0.348,6,19,0.316,17,47,0.362,0.394,12,15,0.8,8,24,32,11,8,1,18,20
107,AlabamaNCAA,alabama,2023,13,13,2022-12-28,@,Mississippi State,REG (Conf),W,78,67,,26,57,0.456,12,32,0.375,14,25,0.56,0.561,14,18,0.778,7,32,39,17,6,4,17,25,20,55,0.364,9,24,0.375,11,31,0.355,0.445,18,36,0.5,11,27,38,14,9,3,15,17
108,AlabamaNCAA,alabama,2023,14,14,2023-01-03,,Ole Miss,REG (Conf),W,84,62,,29,63,0.46,9,20,0.45,20,43,0.465,0.532,17,25,0.68,8,27,35,13,7,5,7,15,24,69,0.348,2,24,0.083,22,45,0.489,0.362,12,17,0.706,11,30,41,9,4,8,12,23
109,AlabamaNCAA,alabama,2023,15,15,2023-01-07,,Kentucky,REG (Conf),W,78,52,,26,54,0.481,8,22,0.364,18,32,0.563,0.556,18,26,0.692,6,31,37,13,9,6,9,13,21,73,0.288,5,20,0.25,16,53,0.302,0.322,5,8,0.625,16,21,37,7,4,6,11,20
110,AlabamaNCAA,alabama,2023,16,16,2023-01-11,@,Arkansas,REG (Conf),W,84,69,,25,54,0.463,9,20,0.45,16,34,0.471,0.546,25,36,0.694,5,28,33,11,8,5,13,22,26,61,0.426,2,10,0.2,24,51,0.471,0.443,15,23,0.652,8,25,33,9,6,4,14,23
111,AlabamaNCAA,alabama,2023,17,17,2023-01-14,,Louisiana State,REG (Conf),W,106,66,,35,76,0.461,20,54,0.37,15,22,0.682,0.592,16,20,0.8,19,29,48,19,7,7,8,21,18,61,0.295,8,21,0.381,10,40,0.25,0.361,22,29,0.759,11,22,33,12,4,0,11,18
112,AlabamaNCAA,alabama,2023,18,18,2023-01-17,@,Vanderbilt,REG (Conf),W,78,66,,28,64,0.438,8,30,0.267,20,34,0.588,0.5,14,17,0.824,10,33,43,10,3,4,14,19,22,73,0.301,6,33,0.182,16,40,0.4,0.342,16,20,0.8,12,28,40,8,6,1,8,19
113,AlabamaNCAA,alabama,2023,19,19,2023-01-21,@,Missouri,REG (Conf),W,85,64,,25,68,0.368,10,35,0.286,15,33,0.455,0.441,25,32,0.781,12,35,47,12,5,1,10,17,23,70,0.329,3,28,0.107,20,42,0.476,0.35,15,19,0.789,12,29,41,7,6,8,9,21
114,AlabamaNCAA,alabama,2023,20,20,2023-01-25,,Mississippi State,REG (Conf),W,66,63,,21,57,0.368,5,28,0.179,16,29,0.552,0.412,19,22,0.864,9,21,30,11,5,3,11,15,26,56,0.464,3,15,0.2,23,41,0.561,0.491,8,12,0.667,8,23,31,13,8,6,15,23
115,AlabamaNCAA,alabama,2023,21,21,2023-01-28,@,Oklahoma,REG (Non-Conf),L,69,93,,25,66,0.379,6,22,0.273,19,44,0.432,0.424,13,21,0.619,14,19,33,6,7,2,13,20,34,59,0.576,9,13,0.692,25,46,0.543,0.653,16,19,0.842,5,30,35,17,3,4,13,20
